k,alpha,shot,seed,modularity,nmi,n_used,collapsed,best_epoch,time
5,0.1,4,46,-0.038642454226869835,0.11740260316987576,5,False,0,5.724056720733643
5,0.1,5,47,0.037489927100316726,0.22687781469678123,5,False,2,7.6577370166778564
5,0.1,6,48,0.013614812316110999,0.24153375771024455,5,False,3,8.05292797088623
5,0.1,7,49,0.028429002454976485,0.1419366404998099,5,False,0,12.180527925491333
5,0.1,8,50,0.26602762317048034,0.4005756601312451,2,False,6,9.246993780136108
5,0.1,9,51,-0.018515395138771762,0.1617060531240945,5,False,0,7.871473073959351
5,1.0,0,42,-0.12026573714885405,0.007576512230527058,4,False,0,13.482244968414307
5,1.0,1,43,-0.05197616236577275,0.023196448075782305,3,False,2,8.13354206085205
5,1.0,2,44,-0.07670395982084292,0.15570721151638353,5,False,2,17.98793601989746
5,1.0,3,45,-0.024615355784186957,0.05792109557694996,5,False,0,9.87829875946045
5,1.0,4,46,-0.038642454226869835,0.11740260316987576,5,False,0,9.232609987258911
5,1.0,5,47,-0.05145143456831768,0.05406205740048291,5,False,0,24.314274072647095
5,1.0,6,48,-0.015648132531249415,0.10147432009734027,5,False,0,13.458920955657959
5,1.0,7,49,0.028429002454976485,0.1419366404998099,5,False,0,5.408721923828125
5,1.0,8,50,0.26602762317048034,0.4005756601312451,2,False,6,12.794913053512573
5,1.0,9,51,-0.018515395138771762,0.1617060531240945,5,False,0,7.547347068786621
5,10.0,0,42,-0.12026573714885405,0.007576512230527058,4,False,0,14.251231908798218
5,10.0,1,43,-0.05197616236577275,0.023196448075782305,3,False,2,6.1914849281311035
5,10.0,2,44,-0.10408350668090927,0.12357196925462981,5,False,3,8.973497152328491
5,10.0,3,45,-0.024615355784186957,0.05792109557694996,5,False,0,6.306562900543213
5,10.0,4,46,-0.038642454226869835,0.11740260316987576,5,False,0,7.718307971954346
5,10.0,5,47,-0.07162534435261708,0.11520293432812816,5,False,2,8.288967847824097
5,10.0,6,48,-0.015648132531249415,0.10147432009734027,5,False,0,6.164034128189087
5,10.0,7,49,0.028429002454976485,0.1419366404998099,5,False,0,11.969166994094849
