graph,config,shot_seed,k,mod,nmi,used_k,collapse,best_epoch,time,error
football,baseline,48,12,0.010783220542407613,0.09245220660684408,5,True,4,3.964515209197998,
football,baseline,49,12,0.051663388943739355,0.11216695320314922,4,False,7,4.118803262710571,
football,baseline,42,12,0.08723976698450377,0.067833055141516,2,False,11,4.128041982650757,
football,baseline,43,12,0.022830515556099593,0.15274601454915826,7,False,2,4.32513165473938,
football,baseline,46,12,0.13667838485878292,0.20555237791201064,2,True,374,4.799192667007446,
football,baseline,44,12,0.0061447325351479095,0.12658315626834948,7,False,2,4.8758862018585205,
football,baseline,45,12,0.03831742373639125,0.2582687500762586,12,False,0,5.405642032623291,
football,baseline,50,12,0.05188027751091759,0.08977662472816529,3,False,7,2.0409741401672363,
football,baseline,51,12,0.02252314586887153,0.1596067821522476,7,False,3,2.032578945159912,
football,baseline,52,12,0.05135868046592456,0.2042170686001763,7,False,3,2.227485179901123,
football,baseline,53,12,0.006362951707032745,0.20069062749359046,9,False,2,2.277945041656494,
football,baseline,47,12,0.020045559905154484,0.19049765168194016,9,False,0,7.543745756149292,
football,baseline,58,12,0.005845346476159503,0.09972937765885867,4,False,7,2.027920961380005,
football,baseline,59,12,0.009887723574855813,0.14163113953833095,6,True,5,2.044132709503174,
football,baseline,60,12,0.11637468764054502,0.13695630853386437,2,True,12,2.145444869995117,
football,baseline,57,12,0.12128195779854112,0.12511467921245759,2,False,24,2.7926058769226074,
football,baseline,61,12,0.36151997636846045,0.4253789574184417,2,False,184,2.6561930179595947,
football,ortho,42,12,0.008481274399963802,0.2620910281455034,12,False,0,2.2214438915252686,
football,ortho,43,12,-0.013215565946099869,0.15524600549319875,9,False,0,2.1243369579315186,
football,baseline,55,12,0.4003563359404315,0.35922838275072594,2,False,202,5.844505786895752,
football,baseline,54,12,0.028755698314656065,0.21572942648115634,12,False,2,5.976547002792358,
football,ortho,45,12,0.03831742373639125,0.2582687500762586,12,False,0,2.1320109367370605,
football,baseline,56,12,0.4003563359404315,0.35922838275072594,2,False,192,5.8674187660217285,
football,ortho,48,12,-0.010788542961234169,0.1921161670805417,9,False,0,2.1261661052703857,
football,ortho,50,12,0.06316247481830589,0.10465803335336389,3,False,7,2.1867189407348633,
football,ortho,44,12,-0.003958549002179533,0.2519533775957945,12,False,1,4.5048158168792725,
football,ortho,47,12,0.020045559905154484,0.19049765168194016,9,False,0,3.2045350074768066,
football,ortho,49,12,0.02288906216319068,0.24260265660290337,12,False,0,4.239831924438477,
football,ortho,46,12,0.11428696885586616,0.206548028992021,2,True,16,5.131744146347046,
football,ortho,52,12,0.03548057450188812,0.24098536415071056,9,False,2,4.364073038101196,
football,ortho,53,12,-0.0036019469408067276,0.22428209077451014,10,False,0,3.9819986820220947,
football,ortho,51,12,-0.0013026620077760535,0.2665020285452553,12,False,0,6.207125902175903,
football,ortho,59,12,-0.011906250914790733,0.19989631535547164,10,False,0,2.169459819793701,
football,ortho,54,12,-0.011159781674379744,0.24760548617841613,12,False,0,5.307937860488892,
football,ortho,57,12,0.07989882081810892,0.1181672360500694,2,False,12,3.422370195388794,
football,ortho,60,12,0.14117183695302168,0.18905910889376235,2,False,45,2.351731061935425,
football,ortho,55,12,0.4003563359404315,0.35922838275072594,2,False,1780,6.054965019226074,
football,ortho,56,12,0.17118495671542888,0.15875453461108296,2,False,174,6.083477020263672,
football,ortho,58,12,-0.007324978909915412,0.19138029706986623,11,False,0,4.9669129848480225,
football,ortho,61,12,0.1276249504349746,0.14357472750109695,2,False,79,3.787468671798706,
lfr_n200_mu0.1,baseline,44,5,0.025160813046913484,0.07532661198975235,5,False,1,4.221418857574463,
lfr_n200_mu0.1,baseline,46,5,0.017197492583593006,0.08051732429453226,5,False,1,5.273998975753784,
lfr_n200_mu0.1,baseline,47,5,0.02455566777477976,0.08687162932749078,5,False,5,5.562895059585571,
lfr_n200_mu0.1,baseline,49,5,0.0329200891459579,0.06952662660608148,5,False,0,6.094905853271484,
lfr_n200_mu0.1,baseline,45,5,0.00035172030828410476,0.020432650270349056,3,True,3,6.127213954925537,
lfr_n200_mu0.1,baseline,48,5,0.0,0.0,1,True,0,6.556166887283325,
lfr_n200_mu0.1,baseline,42,5,0.2793935689688585,0.5227849971063353,2,False,637,8.361772060394287,
lfr_n200_mu0.1,baseline,43,5,0.04099009033854594,0.04966569210312321,4,False,2,8.637009859085083,
lfr_n200_mu0.1,baseline,50,5,0.3614566717848572,0.5737580034283122,2,False,11,6.591295957565308,
lfr_n200_mu0.1,baseline,55,5,0.010218057274041828,0.05563553472351889,5,False,0,4.566305875778198,
lfr_n200_mu0.1,baseline,54,5,0.03452589034152746,0.043710717738591504,5,False,2,5.641106843948364,
lfr_n200_mu0.1,baseline,53,5,0.0198011545743206,0.06989481519726587,5,False,0,5.784350395202637,
lfr_n200_mu0.1,baseline,51,5,0.0449330846290306,0.04082134646745946,3,False,5,6.62601900100708,
lfr_n200_mu0.1,baseline,52,5,0.34816816609770285,0.44176240720495424,2,False,22,6.457316160202026,
lfr_n200_mu0.1,baseline,59,5,0.04128171538885827,0.07800510831129559,4,False,2,2.874804973602295,
lfr_n200_mu0.1,baseline,60,5,0.02019666522562282,0.07332592322479871,5,False,2,2.234402894973755,
lfr_n200_mu0.1,baseline,57,5,0.008887110359118145,0.0651695648373203,5,False,3,5.993741750717163,
lfr_n200_mu0.1,baseline,56,5,0.3707458147612589,0.6210404863530625,2,False,1891,6.442266225814819,
lfr_n200_mu0.1,baseline,58,5,0.009814627092619457,0.036160893883528104,5,False,2,4.213931083679199,
lfr_n200_mu0.1,ortho,42,5,0.2794382910213027,0.5022103119535903,2,False,89,3.1431870460510254,
lfr_n200_mu0.1,baseline,61,5,0.022258072330466203,0.08246554708403078,5,False,1,3.972569704055786,
lfr_n200_mu0.1,ortho,44,5,0.003194365766759609,0.038057776408903995,5,False,0,2.415487051010132,
lfr_n200_mu0.1,ortho,45,5,-0.013858246001103127,0.04611736836920939,5,False,0,2.4133341312408447,
lfr_n200_mu0.1,ortho,47,5,0.01327406419105262,0.06243887187260719,5,False,0,2.874389886856079,
