graph,criterion,seed,n,k_true,mod,nmi,k_found,time,n_decisions,n_splits,n_collapsed,max_depth,min_size_used,target_k_used,wall_time,error
football,target_k,45,115,12,0.5791563433918179,0.8943144700866158,12,236.4551501274109,12,11,0,3,,12.0,236.4692509174347,
football,target_k,46,115,12,0.5791563433918179,0.8943144700866158,12,237.2933440208435,12,11,0,3,,12.0,237.29581379890442,
football,min_size,43,115,12,0.5954974997937562,0.8445827581704263,8,178.54085206985474,8,0,0,3,11.0,,178.54339599609375,
football,min_size,44,115,12,0.5954974997937562,0.8445827581704263,8,179.1690320968628,8,0,0,3,11.0,,179.17064905166626,
football,min_size,45,115,12,0.5954974997937562,0.8445827581704263,8,179.43320083618164,8,0,0,3,11.0,,179.4347267150879,
football,min_size,46,115,12,0.5954974997937562,0.8445827581704263,8,179.54070281982422,8,0,0,3,11.0,,179.54219222068787,
lfr_n200_mu0.1,target_k,44,200,5,0.5524016673871887,0.9415131293470661,5,158.8800446987152,5,4,0,2,,5.0,159.38043975830078,
lfr_n200_mu0.1,target_k,42,200,5,0.5524016673871887,0.9415131293470661,5,159.58644485473633,5,4,0,2,,5.0,160.10317587852478,
lfr_n200_mu0.1,target_k,43,200,5,0.5524016673871887,0.9415131293470661,5,160.6477198600769,5,4,0,2,,5.0,161.15334725379944,
lfr_n200_mu0.1,modularity_gain,44,200,5,0.5524016673871887,0.9415131293470661,5,271.204971075058,9,4,0,3,,,271.75160002708435,
lfr_n200_mu0.1,modularity_gain,42,200,5,0.5524016673871887,0.9415131293470661,5,272.790030002594,9,4,0,3,,,273.415167093277,
lfr_n200_mu0.1,modularity_gain,45,200,5,0.5524016673871887,0.9415131293470661,5,272.80611395835876,9,4,0,3,,,273.34574699401855,
lfr_n200_mu0.1,modularity_gain,43,200,5,0.5524016673871887,0.9415131293470661,5,273.27988505363464,9,4,0,3,,,273.8354079723358,
lfr_n200_mu0.1,modularity_gain,46,200,5,0.5434572568983767,0.9071102127688709,5,284.60118198394775,9,4,0,3,,,285.13299083709717,
lfr_n200_mu0.1,target_k,45,200,5,0.5524016673871887,0.9415131293470661,5,159.3339912891388,5,4,0,2,,5.0,159.3376030921936,
lfr_n200_mu0.1,target_k,46,200,5,0.5434572568983767,0.9071102127688709,5,159.84809184074402,5,4,0,2,,5.0,159.85019779205322,
lfr_n200_mu0.1,min_size,42,200,5,0.4657014467583966,0.8082884753993307,8,303.0624063014984,8,0,0,4,15.0,,303.06434202194214,
lfr_n200_mu0.1,min_size,46,200,5,0.45550994320299343,0.7822408317366709,8,266.25795102119446,8,0,0,4,15.0,,266.25991702079773,
lfr_n200_mu0.1,min_size,43,200,5,0.4657014467583966,0.8082884753993308,8,289.17268204689026,8,0,0,4,15.0,,289.1759650707245,
lfr_n200_mu0.1,min_size,45,200,5,0.4657014467583966,0.8082884753993308,8,290.18325901031494,8,0,0,4,15.0,,290.1852662563324,
lfr_n200_mu0.1,min_size,44,200,5,0.4657014467583966,0.8082884753993308,8,290.5412530899048,8,0,0,4,15.0,,290.54333686828613,
lfr_n200_mu0.3,target_k,44,200,6,0.3535312095929879,0.7226947230279377,6,266.89987206459045,6,5,0,2,,6.0,267.33238887786865,
lfr_n200_mu0.3,target_k,42,200,6,0.3535312095929879,0.7226947230279377,6,267.3283500671387,6,5,0,2,,6.0,267.7601079940796,
lfr_n200_mu0.3,target_k,43,200,6,0.3535312095929879,0.7226947230279377,6,271.195139169693,6,5,0,2,,6.0,271.6398799419403,
lfr_n200_mu0.3,modularity_gain,46,200,6,0.3798374246396251,0.8023521835978257,6,681.7781066894531,11,5,0,3,,,682.2831678390503,
lfr_n200_mu0.3,modularity_gain,44,200,6,0.3798374246396251,0.8023521835978256,6,682.5346088409424,11,5,0,3,,,683.0231761932373,
lfr_n200_mu0.3,modularity_gain,43,200,6,0.3798374246396251,0.8023521835978257,6,682.5437970161438,11,5,0,3,,,683.0504770278931,
lfr_n200_mu0.3,modularity_gain,45,200,6,0.3798374246396251,0.8023521835978257,6,687.9910340309143,11,5,0,3,,,688.5184540748596,
lfr_n200_mu0.3,modularity_gain,42,200,6,0.3798374246396251,0.8023521835978256,6,689.3553919792175,11,5,0,3,,,690.0581450462341,
lfr_n200_mu0.3,target_k,45,200,6,0.3535312095929879,0.7226947230279377,6,536.8756461143494,6,5,0,2,,6.0,536.8800282478333,
lfr_n200_mu0.3,target_k,46,200,6,0.3535312095929879,0.7226947230279377,6,537.0527501106262,6,5,0,2,,6.0,537.0566492080688,
lfr_n200_mu0.3,min_size,42,200,6,0.33495294765025085,0.7163548174245837,9,674.5102550983429,9,0,0,4,15.0,,674.513524055481,
lfr_n200_mu0.3,min_size,44,200,6,0.33495294765025085,0.7163548174245837,9,388.80181670188904,9,0,0,4,15.0,,388.8070628643036,
lfr_n200_mu0.3,min_size,43,200,6,0.33495294765025085,0.7163548174245837,9,389.99727630615234,9,0,0,4,15.0,,390.0045120716095,
lfr_n200_mu0.3,min_size,45,200,6,0.33495294765025085,0.7163548174245837,9,389.65497398376465,9,0,0,4,15.0,,389.6604280471802,
lfr_n200_mu0.3,min_size,46,200,6,0.33495294765025085,0.7163548174245837,9,387.3711850643158,9,0,0,4,15.0,,387.3785698413849,
SBM_n200_p0.3_q0.05,target_k,44,200,2,0.35210794026487463,1.0,2,70.70492005348206,2,1,0,1,,2.0,71.36198401451111,
SBM_n200_p0.3_q0.05,target_k,43,200,2,0.35210794026487463,1.0,2,70.87496280670166,2,1,0,1,,2.0,71.53395295143127,
SBM_n200_p0.3_q0.05,target_k,42,200,2,0.35210794026487463,1.0,2,70.88873600959778,2,1,0,1,,2.0,71.55449485778809,
SBM_n200_p0.3_q0.05,target_k,45,200,2,0.35210794026487463,1.0,2,66.75391364097595,2,1,0,1,,2.0,66.75617408752441,
SBM_n200_p0.3_q0.05,target_k,46,200,2,0.35210794026487463,1.0,2,66.95521402359009,2,1,0,1,,2.0,66.95741629600525,
SBM_n200_p0.3_q0.05,modularity_gain,42,200,2,0.35210794026487463,1.0,2,169.1893711090088,3,1,0,1,,,169.9366729259491,
SBM_n200_p0.3_q0.05,modularity_gain,44,200,2,0.35210794026487463,1.0,2,169.41270899772644,3,1,0,1,,,170.11142301559448,
SBM_n200_p0.3_q0.05,modularity_gain,45,200,2,0.35210794026487463,1.0,2,169.8547956943512,3,1,0,1,,,170.53411316871643,
SBM_n200_p0.3_q0.05,modularity_gain,43,200,2,0.35210794026487463,1.0,2,169.85636496543884,3,1,0,1,,,170.569833278656,
SBM_n200_p0.3_q0.05,modularity_gain,46,200,2,0.35210794026487463,1.0,2,170.28557920455933,3,1,0,1,,,170.95123600959778,
SBM_n200_p0.3_q0.05,min_size,42,200,2,0.19754541425415695,0.5006630626942454,8,308.34656620025635,8,0,0,3,15.0,,308.34892892837524,
SBM_n200_p0.3_q0.05,min_size,43,200,2,0.19680226281145696,0.5003612624066308,8,283.6816258430481,8,0,0,3,15.0,,283.68401980400085,
SBM_n200_p0.3_q0.05,min_size,44,200,2,0.1981697549127091,0.5003960036883245,8,283.5599558353424,8,0,0,3,15.0,,283.5624120235443,
SBM_n200_p0.3_q0.05,min_size,46,200,2,0.19783889524660078,0.5003960036883245,8,284.69897198677063,8,0,0,3,15.0,,284.7012388706207,
SBM_n200_p0.3_q0.05,min_size,45,200,2,0.1967123620952215,0.500906129524914,8,285.0620231628418,8,0,0,3,15.0,,285.0642566680908,
SBM_n200_p0.2_q0.15,target_k,42,200,2,0.11215101030103244,0.05325214377148814,2,83.84024381637573,2,1,0,1,,2.0,84.2922523021698,
SBM_n200_p0.2_q0.15,target_k,43,200,2,0.11215101030103244,0.05325214377148814,2,84.40273976325989,2,1,0,1,,2.0,84.84875798225403,
SBM_n200_p0.2_q0.15,target_k,44,200,2,0.11215101030103244,0.05325214377148814,2,84.40879988670349,2,1,0,1,,2.0,84.85576391220093,
SBM_n200_p0.2_q0.15,target_k,45,200,2,0.11215101030103244,0.05325214377148814,2,85.6963210105896,2,1,0,1,,2.0,85.69884014129639,
SBM_n200_p0.2_q0.15,target_k,46,200,2,0.11215101030103244,0.05325214377148814,2,86.36013627052307,2,1,0,1,,2.0,86.36280608177185,
SBM_n200_p0.2_q0.15,modularity_gain,42,200,2,0.1385381034011915,0.03708499414050838,4,343.947496175766,7,3,0,2,,,344.4146990776062,
SBM_n200_p0.2_q0.15,modularity_gain,45,200,2,0.1386297533395199,0.05413706337358578,4,344.54504108428955,7,3,0,2,,,345.0007429122925,
SBM_n200_p0.2_q0.15,modularity_gain,43,200,2,0.1385381034011915,0.03708499414050838,4,345.62769889831543,7,3,0,2,,,346.08814811706543,
SBM_n200_p0.2_q0.15,modularity_gain,46,200,2,0.1386297533395199,0.05413706337358578,4,348.0743007659912,7,3,0,2,,,348.5287981033325,
SBM_n200_p0.2_q0.15,modularity_gain,44,200,2,0.1386297533395199,0.05413706337358578,4,349.4928820133209,7,3,0,2,,,349.9589681625366,
