graph,strategy,shot,seed,k,mod,nmi,n_used,collapsed,best_epoch,time
polbooks,collapse,2,44,3,-0.007298913518544198,0.002629995545917695,3,False,0,4.741353988647461
polbooks,collapse,3,45,3,-0.014394722363624171,0.00849459765566817,3,False,0,4.076003789901733
polbooks,collapse,4,46,3,0.04552886914402951,0.01804431696738243,3,False,1,4.74006986618042
lfr_n200_mu0.1,baseline,0,42,5,0.2793935689688585,0.5227849971063353,2,False,95,7.437314033508301
lfr_n200_mu0.1,baseline,1,43,5,0.04099009033854594,0.04966569210312321,4,False,2,9.416667699813843
lfr_n200_mu0.1,baseline,2,44,5,0.025160813046913484,0.07532661198975235,5,False,1,3.3766400814056396
lfr_n200_mu0.1,baseline,3,45,5,0.00035172030828410476,0.020432650270349056,3,True,3,6.232675075531006
lfr_n200_mu0.1,baseline,4,46,5,0.017197492583593006,0.08051732429453226,5,False,1,4.689908027648926
lfr_n200_mu0.1,ortho,0,42,5,0.3361192998017322,0.5801454119200321,2,False,842,8.71530294418335
lfr_n200_mu0.1,ortho,1,43,5,0.04099009033854594,0.04966569210312321,4,False,2,9.50717806816101
lfr_n200_mu0.1,ortho,2,44,5,0.003194365766759609,0.038057776408903995,5,False,0,3.280320167541504
lfr_n200_mu0.1,ortho,3,45,5,-0.013858246001103127,0.04611736836920939,5,False,0,5.109246253967285
lfr_n200_mu0.1,ortho,4,46,5,0.0016127890162639137,0.046090163495014616,5,False,0,6.8300957679748535
lfr_n200_mu0.1,collapse,0,42,5,-0.017860403840133557,0.0322233688655236,5,False,0,6.119849920272827
lfr_n200_mu0.1,collapse,1,43,5,-0.025418896557892676,0.028596094798130314,5,False,0,8.298277854919434
lfr_n200_mu0.1,collapse,2,44,5,0.003194365766759609,0.038057776408903995,5,False,0,2.701619863510132
lfr_n200_mu0.1,collapse,3,45,5,-0.013858246001103127,0.04611736836920939,5,False,0,2.7695870399475098
lfr_n200_mu0.1,collapse,4,46,5,0.0016127890162639137,0.046090163495014616,5,False,0,4.43817400932312
lfr_n200_mu0.3,baseline,0,42,6,0.19803540305298678,0.3746425722111728,2,False,45,8.67259407043457
lfr_n200_mu0.3,baseline,1,43,6,0.0006502863448925594,0.048476022448971395,6,False,1,5.8958868980407715
lfr_n200_mu0.3,baseline,2,44,6,0.020297765475720497,0.0634590855216383,6,False,0,5.1282289028167725
lfr_n200_mu0.3,baseline,3,45,6,0.012588683130523042,0.023942820429895262,3,False,4,3.986992835998535
lfr_n200_mu0.3,baseline,4,46,6,0.02526228467520784,0.03300292543355956,4,False,5,4.854664325714111
lfr_n200_mu0.3,ortho,0,42,6,0.21256777432988053,0.2994823138384923,2,False,530,8.734079837799072
lfr_n200_mu0.3,ortho,1,43,6,-0.017035766126384275,0.04278695335464785,6,False,0,5.478823900222778
lfr_n200_mu0.3,ortho,2,44,6,0.020297765475720497,0.0634590855216383,6,False,0,3.8910746574401855
lfr_n200_mu0.3,ortho,3,45,6,0.0072082524092297855,0.052791719741789145,6,False,0,8.622854948043823
lfr_n200_mu0.3,ortho,4,46,6,-0.006664019728245979,0.08351793927981274,6,False,0,8.733490943908691
lfr_n200_mu0.3,collapse,0,42,6,0.017401104014867143,0.06827033526687597,6,False,0,8.969501256942749
lfr_n200_mu0.3,collapse,1,43,6,-0.017035766126384275,0.04278695335464785,6,False,0,7.480246067047119
lfr_n200_mu0.3,collapse,2,44,6,0.020297765475720497,0.0634590855216383,6,False,0,9.134501934051514
lfr_n200_mu0.3,collapse,3,45,6,0.0072082524092297855,0.052791719741789145,6,False,0,5.769646883010864
lfr_n200_mu0.3,collapse,4,46,6,-0.006664019728245979,0.08351793927981274,6,False,0,9.466311931610107
lfr_n500_mu0.3,baseline,0,42,11,0.05583279079861113,0.14162398860133404,2,True,40,5.578327894210815
lfr_n500_mu0.3,baseline,1,43,11,0.0066182605131172864,0.02405722739196682,4,False,11,12.842157125473022
lfr_n500_mu0.3,baseline,2,44,11,0.00965904706790122,0.022643260917896386,5,True,4,8.900601863861084
lfr_n500_mu0.3,baseline,3,45,11,0.005661108699845693,0.008810447783640487,2,True,7,10.198523044586182
lfr_n500_mu0.3,baseline,4,46,11,0.014832115644290038,0.0666573432286066,10,False,2,4.721839904785156
lfr_n500_mu0.3,ortho,0,42,11,0.002490535783179007,0.05652628411087032,11,False,0,6.249048948287964
lfr_n500_mu0.3,ortho,1,43,11,-0.018698338638117287,0.05093734894401228,11,False,0,7.147637844085693
lfr_n500_mu0.3,ortho,2,44,11,-0.013866343557098763,0.05908459580266564,10,False,0,5.569125175476074
lfr_n500_mu0.3,ortho,3,45,11,-0.009096257716049385,0.05430964631231936,11,False,0,6.753800868988037
lfr_n500_mu0.3,ortho,4,46,11,0.010597149884259253,0.05979916855951096,11,False,0,4.78357720375061
lfr_n500_mu0.3,collapse,0,42,11,0.002490535783179007,0.05652628411087032,11,False,0,14.46784782409668
lfr_n500_mu0.3,collapse,1,43,11,-0.018698338638117287,0.05093734894401228,11,False,0,6.064388275146484
lfr_n500_mu0.3,collapse,2,44,11,-0.013866343557098763,0.05908459580266564,10,False,0,10.443136930465698
lfr_n500_mu0.3,collapse,3,45,11,-0.009096257716049385,0.05430964631231936,11,False,0,9.393620014190674
lfr_n500_mu0.3,collapse,4,46,11,0.010597149884259253,0.05979916855951096,11,False,0,6.646661758422852
email_eu_core,baseline,0,42,42,0.034612662088200935,0.03301822037664846,2,False,1057,34.20943093299866
email_eu_core,baseline,1,43,42,0.041634631791558824,0.04549782561183105,2,True,1030,34.12397003173828
email_eu_core,baseline,2,44,42,0.03908103114186676,0.03413904060947438,2,False,48,34.09735298156738
email_eu_core,ortho,0,42,42,0.0005360235477413042,0.1776034377193552,38,False,0,34.906622886657715
email_eu_core,ortho,1,43,42,-0.004334202346490534,0.18901045961513332,42,False,0,34.1104462146759
email_eu_core,ortho,2,44,42,-0.0016769559585363743,0.18289261148649813,40,False,0,34.63375687599182
email_eu_core,collapse,0,42,42,0.0005360235477413042,0.1776034377193552,38,False,0,34.34032106399536
email_eu_core,collapse,1,43,42,-0.004334202346490534,0.18901045961513332,42,False,0,34.800023794174194
email_eu_core,collapse,2,44,42,-0.0016769559585363743,0.18289261148649813,40,False,0,34.197935819625854
