graph,lr,alpha_ortho,epochs,mod_mean,mod_std,mod_best,nmi_mean,nmi_best,collapse_rate,n_shots
lfr_n200_mu0.1,0.005,1.0,10000,-0.010466078323221141,0.012472734198086038,0.0031943657667596,0.03821695438735634,0.0461173683692093,0.0,5
lfr_n200_mu0.1,0.014,0.0,3000,0.07261873704923898,0.11651447657427123,0.2793935689688585,0.1497454551528184,0.5227849971063353,0.2,5
lfr_n200_mu0.1,0.014,0.0,10000,0.07261873704923898,0.11651447657427122,0.2793935689688585,0.1497454551528184,0.5227849971063353,0.2,5
lfr_n200_mu0.1,0.014,0.1,3000,0.06227545802835379,0.12306465645642542,0.2794382910213027,0.13642826246596826,0.5022103119535903,0.0,5
lfr_n200_mu0.1,0.014,0.1,10000,0.06227545802835379,0.12306465645642542,0.2794382910213027,0.13642826246596826,0.5022103119535903,0.0,5
lfr_n200_mu0.1,0.014,0.5,3000,-0.01046607832322114,0.012472734198086038,0.0031943657667596,0.03821695438735634,0.0461173683692093,0.0,5
lfr_n200_mu0.1,0.014,0.5,10000,-0.01046607832322114,0.012472734198086038,0.0031943657667596,0.03821695438735634,0.0461173683692093,0.0,5
lfr_n200_mu0.1,0.014,1.0,3000,-0.01046607832322114,0.012472734198086036,0.0031943657667596,0.03821695438735634,0.0461173683692093,0.0,5
lfr_n200_mu0.1,0.014,1.0,10000,-0.01046607832322114,0.012472734198086036,0.0031943657667596,0.03821695438735634,0.0461173683692093,0.0,5
polbooks,0.001,0.0,3000,0.03395550207989472,0.005011668053959311,0.0413228027416561,0.04122987214993884,0.0801622478643896,0.2,5
polbooks,0.001,0.0,10000,0.03395550207989472,0.00501166805395931,0.0413228027416561,0.04122987214993884,0.0801622478643896,0.2,5
polbooks,0.001,0.1,3000,0.0274273579424211,0.008245430084211618,0.0371270201202174,0.02810971769561444,0.0517420216409267,0.0,5
polbooks,0.001,0.1,10000,0.0274273579424211,0.008245430084211618,0.0371270201202174,0.02810971769561444,0.0517420216409267,0.0,5
polbooks,0.001,0.5,3000,0.00713283045644564,0.016213741952362987,0.027719931510019,0.021630417764477338,0.0309897459650179,0.0,5
polbooks,0.001,0.5,10000,0.00713283045644564,0.01621374195236299,0.027719931510019,0.021630417764477338,0.0309897459650179,0.0,5
polbooks,0.001,1.0,3000,-0.010357309968583,0.01150163441931166,0.0099161357664759,0.015500882814703501,0.0309897459650179,0.0,5
polbooks,0.001,1.0,10000,-0.010357309968583,0.01150163441931166,0.0099161357664759,0.015500882814703501,0.0309897459650179,0.0,5
polbooks,0.005,0.0,3000,0.0232074084357855,0.013067846221271629,0.0376592057835984,0.03864259916202638,0.0853502142402576,0.6,5
polbooks,0.005,0.0,10000,0.0232074084357855,0.013067846221271625,0.0376592057835984,0.03864259916202638,0.0853502142402576,0.6,5
polbooks,0.005,0.1,3000,0.00778327960057798,0.021877625247111007,0.0376592057835984,0.02221158007618164,0.0297000676966883,0.0,5
polbooks,0.005,0.1,10000,0.00778327960057798,0.021877625247111007,0.0376592057835984,0.02221158007618164,0.0297000676966883,0.0,5
polbooks,0.005,0.5,3000,0.0011111625300158398,0.022686724172281063,0.0376592057835984,0.017970486067977597,0.0281050016596381,0.0,5
polbooks,0.005,0.5,10000,0.0011111625300158398,0.022686724172281063,0.0376592057835984,0.017970486067977597,0.0281050016596381,0.0,5
polbooks,0.005,1.0,3000,0.0011111625300158402,0.022686724172281066,0.0376592057835984,0.017970486067977597,0.0281050016596381,0.0,5
polbooks,0.005,1.0,10000,0.0011111625300158398,0.022686724172281063,0.0376592057835984,0.017970486067977597,0.0281050016596381,0.0,5
polbooks,0.014,0.0,3000,0.10763930666748937,0.19612160339828316,0.456874964649503,0.13439764145696043,0.5979222938719463,0.6,5
polbooks,0.014,0.0,10000,0.10763930666748937,0.19612160339828316,0.456874964649503,0.13439764145696045,0.5979222938719463,0.6,5
polbooks,0.014,0.1,3000,0.013450157084753838,0.0383305492495011,0.06346892498496,0.01881351019713608,0.050256728021811,0.0,5
polbooks,0.014,0.1,10000,0.013450157084753838,0.0383305492495011,0.06346892498496,0.01881351019713608,0.050256728021811,0.0,5
polbooks,0.014,0.5,3000,-0.0007034106159469796,0.026476184668622758,0.0455288691440295,0.0182520662070067,0.050256728021811,0.0,5
polbooks,0.014,0.5,10000,-0.0007034106159469796,0.026476184668622758,0.0455288691440295,0.0182520662070067,0.050256728021811,0.0,5
polbooks,0.014,1.0,3000,0.09213136501766243,0.20557659426339484,0.456874964649503,0.1373105258722124,0.5979222938719462,0.0,5
polbooks,0.014,1.0,10000,0.09213136501766243,0.20557659426339484,0.456874964649503,0.1373105258722124,0.5979222938719462,0.0,5
