graph,shot_seed,mod,nmi,used_k,collapse,best_epoch,time,error
SBM_n200_p0.2_q0.15,61,0.10586352523358195,0.016311990595488456,2,False,1400,6.578699111938477,
SBM_n200_p0.2_q0.15,58,0.10989737633648741,0.10682654162214188,2,False,2312,6.620361328125,
SBM_n200_p0.2_q0.15,59,0.10381017833638129,0.0002887154108149442,2,False,138,6.61693000793457,
SBM_n200_p0.2_q0.15,60,0.11112239545921065,0.026291065471302593,2,False,957,6.62252402305603,
SBM_n500_p0.2_q0.05,44,0.3007819044590978,1.0,2,False,11,18.250118255615234,
SBM_n500_p0.2_q0.05,48,0.3007819044590978,1.0,2,False,11,18.278136014938354,
SBM_n500_p0.2_q0.05,47,0.3007819044590978,1.0,2,False,9,18.313189029693604,
SBM_n500_p0.2_q0.05,49,0.3007819044590978,1.0,2,False,12,18.331820964813232,
SBM_n500_p0.2_q0.05,42,0.3007819044590978,1.0,2,False,10,18.405566930770874,
SBM_n500_p0.2_q0.05,45,0.3007819044590978,1.0,2,False,14,18.45133113861084,
SBM_n500_p0.2_q0.05,43,0.3007819044590978,1.0,2,False,9,18.50843906402588,
SBM_n500_p0.2_q0.05,46,0.3007819044590978,1.0,2,False,10,18.524693965911865,
SBM_n500_p0.2_q0.05,51,0.3007819044590978,1.0,2,False,13,15.10890817642212,
SBM_n500_p0.2_q0.05,50,0.3007819044590978,1.0,2,False,16,15.226906776428223,
SBM_n500_p0.2_q0.05,53,0.3007819044590978,1.0,2,False,13,15.216657876968384,
SBM_n500_p0.2_q0.05,52,0.3007819044590978,1.0,2,False,15,15.326908826828003,
SBM_n500_p0.2_q0.05,57,0.3007819044590978,1.0,2,False,12,15.127097129821777,
SBM_n500_p0.2_q0.05,54,0.3007819044590978,1.0,2,False,8,15.384488821029663,
SBM_n500_p0.2_q0.05,56,0.3007819044590978,1.0,2,False,15,15.283202886581421,
SBM_n500_p0.2_q0.05,55,0.3007819044590978,1.0,2,False,16,15.407803058624268,
SBM_n500_p0.2_q0.05,58,0.3007819044590978,1.0,2,False,15,14.63077187538147,
SBM_n500_p0.2_q0.05,59,0.3007819044590978,1.0,2,False,9,14.567012310028076,
SBM_n500_p0.2_q0.05,60,0.3007819044590978,1.0,2,False,14,14.609888076782227,
SBM_n500_p0.2_q0.05,61,0.3007819044590978,1.0,2,False,11,14.621478080749512,
polblogs,44,0.42563280925942015,0.7128881712740937,2,False,2773,23.49415612220764,
polblogs,45,0.4256613407703145,0.7369545037725665,2,False,1327,23.555963039398193,
polblogs,46,0.4256752870430005,0.7286769625628147,2,False,2996,23.669209003448486,
polblogs,42,0.4256258790787424,0.7167477342212865,2,False,2730,23.680437088012695,
polblogs,49,0.42568252328279393,0.7286769625628147,2,False,613,23.83491802215576,
polblogs,48,0.42568252328279393,0.7286769625628147,2,False,938,23.842873096466064,
polblogs,47,0.425640313972122,0.7206637668415858,2,False,348,24.008454084396362,
polblogs,43,0.425640313972122,0.7206637668415858,2,False,1871,24.056766033172607,
polblogs,50,0.42568252328279393,0.7286769625628147,2,False,250,19.861709117889404,
polblogs,51,0.42568252328279393,0.7286769625628147,2,False,849,19.820386171340942,
