graph,k,lr,alpha_ortho,epochs,shot,best_epoch,modularity,nmi,n_used,collapsed,time,error
polbooks,3,0.001,0.5,10000,45,5,0.01581902602310769,0.02512627102385097,3,False,20.367177963256836,
polbooks,3,0.001,0.5,10000,44,1,-0.0049773499724908715,0.017767010729422557,3,False,21.276539087295532,
polbooks,3,0.001,0.5,10000,46,1,0.02771993151001901,0.019689520539261193,3,False,21.99763035774231,
polbooks,3,0.005,0.0,3000,42,7,0.0030439991567300442,0.02204220226789668,3,True,6.2017199993133545,
polbooks,3,0.005,0.0,3000,43,7,0.02792560712871698,0.08535021424025761,3,True,6.342535018920898,
polbooks,3,0.005,0.0,3000,44,27,0.02844236712069565,0.03076195446310661,2,True,6.492393970489502,
polbooks,3,0.005,0.0,3000,45,1,0.01896586298918663,0.029700067696688322,3,False,6.310057878494263,
polbooks,3,0.001,1.0,10000,42,7,0.009916135766475931,0.030989745965017922,3,False,21.259398937225342,
polbooks,3,0.005,0.0,3000,46,1,0.037659205783598444,0.025358557142182842,3,False,6.278163194656372,
polbooks,3,0.001,1.0,10000,45,0,-0.014394722363624171,0.00849459765566817,3,False,19.023632287979126,
polbooks,3,0.001,1.0,10000,43,1,-0.01281359104488354,0.014579540564834383,3,False,22.44222402572632,
polbooks,3,0.001,1.0,10000,44,2,-0.016590309593225036,0.015446419903154731,3,False,22.134922981262207,
polbooks,3,0.001,1.0,10000,46,3,-0.017904062607658307,0.007994109984842504,3,False,21.28479790687561,
polbooks,3,0.005,0.0,10000,42,7,0.0030439991567300442,0.02204220226789668,3,True,11.715553045272827,
polbooks,3,0.005,0.1,3000,42,0,-0.02071153480288558,0.011834692844254459,3,False,6.709134101867676,
polbooks,3,0.005,0.0,10000,45,1,0.01896586298918663,0.029700067696688322,3,False,10.802454710006714,
polbooks,3,0.005,0.0,10000,43,7,0.02792560712871698,0.08535021424025761,3,True,12.20962929725647,
polbooks,3,0.005,0.1,3000,43,1,0.003236820049259334,0.01605958103814461,3,False,6.577269077301025,
polbooks,3,0.005,0.1,3000,44,1,-0.00023395601626891027,0.028105001659638126,3,False,6.383230209350586,
polbooks,3,0.005,0.0,10000,44,27,0.02844236712069565,0.03076195446310661,2,True,13.36953091621399,
polbooks,3,0.005,0.0,10000,46,1,0.037659205783598444,0.025358557142182842,3,False,12.051095962524414,
polbooks,3,0.005,0.1,3000,45,1,0.01896586298918663,0.029700067696688322,3,False,6.731031179428101,
polbooks,3,0.005,0.1,3000,46,1,0.037659205783598444,0.025358557142182842,3,False,6.706166744232178,
polbooks,3,0.005,0.5,3000,42,0,-0.02071153480288558,0.011834692844254459,3,False,6.353044033050537,
polbooks,3,0.005,0.5,3000,43,1,0.003236820049259334,0.01605958103814461,3,False,6.735692977905273,
polbooks,3,0.005,0.5,3000,44,1,-0.00023395601626891027,0.028105001659638126,3,False,6.735176086425781,
polbooks,3,0.005,0.1,10000,43,1,0.003236820049259334,0.01605958103814461,3,False,12.74130892753601,
polbooks,3,0.005,0.1,10000,45,1,0.01896586298918663,0.029700067696688322,3,False,12.304188013076782,
polbooks,3,0.005,0.1,10000,46,1,0.037659205783598444,0.025358557142182842,3,False,11.646579027175903,
polbooks,3,0.005,0.1,10000,42,0,-0.02071153480288558,0.011834692844254459,3,False,16.66201400756836,
polbooks,3,0.005,0.5,3000,45,0,-0.014394722363624171,0.00849459765566817,3,False,6.476008892059326,
polbooks,3,0.005,0.5,3000,46,1,0.037659205783598444,0.025358557142182842,3,False,6.721803188323975,
polbooks,3,0.005,0.1,10000,44,1,-0.00023395601626891027,0.028105001659638126,3,False,18.17055916786194,
polbooks,3,0.005,0.5,10000,43,1,0.003236820049259334,0.01605958103814461,3,False,9.954855918884277,
polbooks,3,0.005,1.0,3000,42,0,-0.02071153480288558,0.011834692844254459,3,False,6.401400089263916,
polbooks,3,0.005,1.0,3000,43,1,0.003236820049259334,0.01605958103814461,3,False,6.680562734603882,
polbooks,3,0.005,1.0,3000,44,1,-0.00023395601626891027,0.028105001659638126,3,False,6.519362688064575,
polbooks,3,0.005,0.5,10000,45,0,-0.014394722363624171,0.00849459765566817,3,False,11.841298818588257,
polbooks,3,0.005,0.5,10000,42,0,-0.02071153480288558,0.011834692844254459,3,False,13.420663118362427,
polbooks,3,0.005,0.5,10000,44,1,-0.00023395601626891027,0.028105001659638126,3,False,13.348935842514038,
polbooks,3,0.005,0.5,10000,46,1,0.037659205783598444,0.025358557142182842,3,False,11.935566902160645,
polbooks,3,0.005,1.0,3000,46,1,0.037659205783598444,0.025358557142182842,3,False,6.831225872039795,
polbooks,3,0.005,1.0,3000,45,0,-0.014394722363624171,0.00849459765566817,3,False,7.024523973464966,
polbooks,3,0.014,0.0,3000,42,0,0.0,0.0,1,True,4.768779039382935,
polbooks,3,0.014,0.0,3000,43,5,0.030889906983201522,0.03499275352623582,2,True,3.4417219161987305,
polbooks,3,0.014,0.0,3000,44,448,0.45687496464950306,0.5979222938719463,2,False,6.255544185638428,
polbooks,3,0.005,1.0,10000,45,0,-0.014394722363624171,0.00849459765566817,3,False,10.416318893432617,
polbooks,3,0.005,1.0,10000,42,0,-0.02071153480288558,0.011834692844254459,3,False,13.009178161621094,
polbooks,3,0.014,0.0,3000,45,1,0.004902792560712949,0.021028842919237796,3,True,4.048975706100464,
polbooks,3,0.014,0.0,3000,46,1,0.04552886914402951,0.01804431696738243,3,False,3.8587000370025635,
polbooks,3,0.005,1.0,10000,43,1,0.003236820049259334,0.01605958103814461,3,False,14.277729988098145,
polbooks,3,0.014,0.0,10000,43,5,0.030889906983201522,0.03499275352623582,2,True,3.723457098007202,
polbooks,3,0.005,1.0,10000,44,1,-0.00023395601626891027,0.028105001659638126,3,False,15.095402956008911,
polbooks,3,0.014,0.0,10000,42,0,0.0,0.0,1,True,4.692802906036377,
polbooks,3,0.005,1.0,10000,46,1,0.037659205783598444,0.025358557142182842,3,False,14.196513175964355,
polbooks,3,0.014,0.0,10000,46,1,0.04552886914402951,0.01804431696738243,3,False,3.8340399265289307,
polbooks,3,0.014,0.0,10000,45,1,0.004902792560712949,0.021028842919237796,3,True,3.8593480587005615,
polbooks,3,0.014,0.1,3000,46,1,0.04552886914402951,0.01804431696738243,3,False,2.8153297901153564,
polbooks,3,0.014,0.1,3000,45,0,-0.014394722363624171,0.00849459765566817,3,False,3.6416358947753906,
polbooks,3,0.014,0.1,3000,42,0,-0.02071153480288558,0.011834692844254459,3,False,5.487109184265137,
polbooks,3,0.014,0.1,3000,44,9,0.06346892498496001,0.005437215496564599,2,False,5.056442737579346,
polbooks,3,0.014,0.1,10000,42,0,-0.02071153480288558,0.011834692844254459,3,False,5.210812091827393,
polbooks,3,0.014,0.1,3000,43,0,-0.006640751538710743,0.05025672802181103,3,False,6.401371240615845,
polbooks,3,0.014,0.0,10000,44,448,0.45687496464950306,0.5979222938719463,2,False,10.400316953659058,
polbooks,3,0.014,0.1,10000,46,1,0.04552886914402951,0.01804431696738243,3,False,3.2251901626586914,
polbooks,3,0.014,0.1,10000,45,0,-0.014394722363624171,0.00849459765566817,3,False,4.111804962158203,
polbooks,3,0.014,0.1,10000,43,0,-0.006640751538710743,0.05025672802181103,3,False,8.237616062164307,
