graph,strategy,mod_best,mod_mean,mod_std,nmi_best,nmi_mean,nmi_std,collapse_rate,mean_used,time_mean
lfr_n200_mu0.3,ortho,0.21256777432988053,0.04327480127204011,0.08558048986824043,0.2994823138384923,0.10840760234727606,0.09648689634980391,0.0,5.2,7.09206485748291
lfr_n500_mu0.3,baseline,0.05583279079861113,0.018520664544753075,0.018928094574687585,0.14162398860133404,0.05275845358468887,0.048481697320414026,0.6,4.6,8.448289966583252
lfr_n500_mu0.3,collapse,0.010597149884259253,-0.0057146508487654355,0.010769043025694211,0.05979916855951096,0.05613140874587571,0.003244280443686692,0.0,10.8,9.403130960464477
lfr_n500_mu0.3,ortho,0.010597149884259253,-0.0057146508487654355,0.010769043025694211,0.05979916855951096,0.05613140874587571,0.003244280443686692,0.0,10.8,6.100638008117675
polbooks,baseline,0.45687496464950306,0.10763930666748942,0.17541649482192598,0.568681052486755,0.12854939317992223,0.22034777486124135,0.6,2.2,4.432134437561035
polbooks,collapse,0.04552886914402951,-0.0007034106159470366,0.02368101948155132,0.05025672802181103,0.018252066207006756,0.016761751118388193,0.0,3.0,5.5242527484893795
polbooks,ortho,0.06346892498496001,0.013450157084753805,0.03428388549471524,0.05025672802181103,0.01881351019713614,0.01626884576726043,0.0,2.8,5.548376607894897
karate,Louvain,0.4266224396094526,0.4266224396094526,0.0,0.594228158548046,0.594228158548046,0.0,0.0,4.0,0.0009567737579345703
karate,Leiden,0.41978961209730437,0.41978961209730437,0.0,0.5878497068250673,0.5878497068250673,0.0,0.0,4.0,0.0015270709991455078
football,Louvain,0.6045695626834571,0.6045695626834571,0.0,0.8903166312052426,0.8903166312052426,0.0,0.0,10.0,0.0023529529571533203
football,Leiden,0.6045695626834573,0.6045695626834573,0.0,0.8903166312052426,0.8903166312052426,0.0,0.0,10.0,0.0019190311431884766
polbooks,Louvain,0.5266195669499848,0.5266195669499848,0.0,0.5038348667035136,0.5038348667035136,0.0,0.0,5.0,0.0020880699157714844
polbooks,Leiden,0.5269846411731738,0.5269846411731738,0.0,0.5520728918454053,0.5520728918454053,0.0,0.0,5.0,0.00202178955078125
lfr_n200_mu0.1,Louvain,0.5555480501185135,0.5555480501185135,0.0,1.0,1.0,0.0,0.0,5.0,0.005197048187255859
lfr_n200_mu0.1,Leiden,0.5555480501185134,0.5555480501185134,0.0,0.9999999999999999,0.9999999999999999,0.0,0.0,5.0,0.004556894302368164
lfr_n200_mu0.3,Louvain,0.39789674071803993,0.39789674071803993,0.0,0.9236651984326095,0.9236651984326095,0.0,0.0,6.0,0.006360054016113281
lfr_n200_mu0.3,Leiden,0.39827981711970323,0.39827981711970323,0.0,0.8984832880108938,0.8984832880108938,0.0,0.0,6.0,0.0054891109466552734
lfr_n500_mu0.3,Louvain,0.4795798369984568,0.4795798369984568,0.0,0.8868105403815191,0.8868105403815191,0.0,0.0,11.0,0.019171953201293945
lfr_n500_mu0.3,Leiden,0.4829283010223764,0.4829283010223764,0.0,0.9010374393051098,0.9010374393051098,0.0,0.0,11.0,0.014540672302246094
email_eu_core,Louvain,0.41067192881859016,0.41067192881859016,0.0,0.591523810194082,0.591523810194082,0.0,0.0,8.0,0.060769081115722656
email_eu_core,Leiden,0.41638373477888757,0.41638373477888757,0.0,0.5861331074909468,0.5861331074909468,0.0,0.0,8.0,0.040572166442871094
